0.1	0.000166583	0.000326494	4.20235e-05	1.44621e-07	9.25521e-07
0.2	0.000827757	0.0011117	8.68713e-05	4.85317e-07	3.56141e-06
0.3	0.00195058	0.00229388	0.000136994	9.07777e-07	7.86065e-06
0.4	0.00347043	0.00379203	0.000194156	1.23317e-06	1.37821e-05
0.5	0.00529784	0.00551519	0.000259228	1.2475e-06	2.12604e-05
0.6	0.00732837	0.00737154	0.000332111	7.36703e-07	3.01764e-05
0.7	0.00945376	0.00927599	0.000411786	4.79061e-07	4.03371e-05
0.8	0.0115726	0.0111557	0.000496476	2.51747e-06	5.14666e-05
0.9	0.0135987	0.012953	0.000583868	5.41652e-06	6.32103e-05
1	0.0154667	0.0146266	0.000671361	9.12901e-06	7.51519e-05
1.1	0.0171337	0.0161508	0.000756305	1.35284e-05	8.68377e-05
1.2	0.0185783	0.0175128	0.000836194	1.8424e-05	9.78056e-05
1.3	0.0197973	0.0187112	0.000908818	2.35814e-05	0.000107614
1.4	0.0208013	0.0197521	0.000972345	2.87468e-05	0.00011587
1.5	0.0216097	0.0206472	0.00102536	3.36694e-05	0.000122249
1.6	0.022247	0.0214112	0.00106689	3.81222e-05	0.000126508
1.7	0.0227389	0.0220602	0.00109633	4.19179e-05	0.000128505
1.8	0.02311	0.0226105	0.00111347	4.49202e-05	0.000128191
1.9	0.0233828	0.0230776	0.0011184	4.705e-05	0.00012562
2	0.0235764	0.0234755	0.00111153	4.82864e-05	0.000120938
2.1	0.0237066	0.0238169	0.00109347	4.86639e-05	0.000114382
2.2	0.023786	0.0241131	0.00106508	4.82662e-05	0.000106266
2.3	0.0238243	0.0243738	0.00102741	4.72175e-05	9.69719e-05
2.4	0.0238288	0.0246074	0.000981714	4.56713e-05	8.6935e-05
2.5	0.0238046	0.0248214	0.000929403	4.37995e-05	7.66286e-05
2.6	0.0237551	0.0250223	0.000872088	4.17806e-05	6.65471e-05
2.7	0.0236821	0.0252162	0.000811571	3.97887e-05	5.71869e-05
2.8	0.0235863	0.025409	0.000749869	3.79839e-05	4.90262e-05
2.9	0.023467	0.0256063	0.000689238	3.65036e-05	4.25026e-05
3	0.0233226	0.0258143	0.000632221	3.54568e-05	3.79903e-05
3.1	0.02315	0.0260397	0.000581698	3.49197e-05	3.57767e-05
3.2	0.0229452	0.0262904	0.000540967	3.49341e-05	3.60383e-05
3.3	0.0227025	0.0265759	0.000513844	3.55074e-05	3.88184e-05
3.4	0.0224146	0.0269079	0.000504801	3.66154e-05	4.40064e-05
3.5	0.0220723	0.0273014	0.000519137	3.82065e-05	5.13213e-05
3.6	0.0216636	0.0277754	0.000563202	4.02078e-05	6.02994e-05
3.7	0.0211738	0.0283548	0.00064469	4.25323e-05	7.02891e-05
3.8	0.0205845	0.0290719	0.000772984	4.50877e-05	8.04525e-05
3.9	0.0198726	0.029969	0.000959597	4.77859e-05	8.97766e-05
4	0.0190097	0.0311012	0.00121868	5.05532e-05	9.70922e-05
4.1	0.0179612	0.0325403	0.00156761	5.33407e-05	0.000101101
4.2	0.0166846	0.0343786	0.00202761	5.61354e-05	0.00010041
4.3	0.0151292	0.0367342	0.0026244	5.89702e-05	9.35684e-05
4.4	0.0132347	0.0397557	0.00338868	6.19332e-05	7.91098e-05
4.5	0.0109308	0.0436269	0.00435643	6.51755e-05	5.55921e-05
4.6	0.00813722	0.0485698	0.00556872	6.89145e-05	2.16393e-05
4.7	0.00476477	0.0548455	0.00707088	7.3434e-05	2.40149e-05
4.8	0.00071787	0.0627499	0.00891051	7.90752e-05	8.24766e-05
4.9	0.00410126	0.0726037	0.0111343	8.62201e-05	0.000154628
5	0.0097859	0.0847346	0.0137833	9.52628e-05	0.00024104
5.1	0.0164156	0.0994499	0.0168861	0.000106569	0.000341862
5.2	0.0240444	0.117	0.0204516	0.000120422	0.000456674
5.3	0.0326862	0.137534	0.0244595	0.000136965	0.000584326
5.4	0.0422993	0.161053	0.028853	0.000156135	0.000722766
5.5	0.0527706	0.187358	0.0335317	0.000177608	0.000868908
5.6	0.0639021	0.216014	0.0383499	0.000200763	0.00101856
5.7	0.0754028	0.24632	0.0431197	0.00022468	0.00116647
5.8	0.0868881	0.27731	0.0476206	0.000248171	0.00130655
5.9	0.0978903	0.307774	0.0516167	0.000269872	0.0014322
6	0.107882	0.336324	0.0548778	0.000288362	0.00153689
6.1	0.11631	0.361487	0.0572044	0.000302322	0.00161469
6.2	0.122647	0.381831	0.0584496	0.000310686	0.00166099
6.3	0.126438	0.396107	0.058537	0.000312788	0.00167294
