Tau                 Error               EOC                 
0.1                 0.126438                                
0.05                0.035277            1.84163             
0.025               0.00949667          1.89323             
0.0125              0.00304776          1.63967             
0.00625             0.00152847          0.995661            
0.003125            0.000765525         0.997569            
0.0015625           0.000383107         0.9987              
0.00078125          0.000191643         0.999326            
0.000390625         9.58445e-05         0.999656            
0.000195313         4.7928e-05          0.999826            
9.76563e-05         2.39654e-05         0.999913            
4.88281e-05         1.19831e-05         0.999956            
2.44141e-05         5.99164e-06         0.999978            
